,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
199,Netherlands,University of Twente,664,200,200,54.4,209,76.8,50,56.2,171,41.4,30.4,203,32.9,204,"Sociology,Computer Science,Chemistry,Mathematics & Statistics,History, Philosophy & Theology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Communication & Media Studies,Physics & Astronomy,Civil Engineering,Education,Business & Management,Psychology,Other Health,Electrical & Electronic Engineering,General Engineering",/world-university-rankings/university-twente
200,United States,University of Georgia,675,201-225,201,37.3,308,27.7,324,30.6,300,-,36.4,156,44.4,117,"Sociology,Mathematics & Statistics,Geography,Politics & International Studies (incl Development Studies),Psychology,Physics & Astronomy,Chemistry,Other Health,General Engineering,Biological Sciences,Law,Economics & Econometrics,Chemical Engineering,Communication & Media Studies,History, Philosophy & Theology,Languages, Literature & Linguistics,Business & Management,Art, Performing Arts & Design,Computer Science,Accounting & Finance,Education,Agriculture & Forestry,Architecture,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Sport Science",/world-university-rankings/university-georgia
201,Sweden,University of Gothenburg,676,201-225,202,55.7,200,37.7,188,48.4,210,-,37.7,146,25.8,281,"Computer Science,Physics & Astronomy,Languages, Literature & Linguistics,Business & Management,Biological Sciences,Law,Psychology,Sociology,Economics & Econometrics,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Sport Science,Mathematics & Statistics,Archaeology,Other Health,Chemistry,Art, Performing Arts & Design,Communication & Media Studies,Politics & International Studies (incl Development Studies),Education,History, Philosophy & Theology,Medicine & Dentistry,Geography",/world-university-rankings/university-gothenburg
202,Austria,University of Innsbruck,677,201-225,203,65.7,148,32.8,253,90.7,15,-,13.8,371,23.1,316,"Psychology,Chemical Engineering,Mathematics & Statistics,Other Health,Chemistry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Sport Science,Electrical & Electronic Engineering,Geography,Physics & Astronomy,Communication & Media Studies,Civil Engineering,Sociology,Computer Science,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,History, Philosophy & Theology,Education,Archaeology,Art, Performing Arts & Design,Architecture",/world-university-rankings/university-innsbruck
203,United States,University of Medicine and Dentistry of New Jersey,678,201-225,204,55.6,202,34.3,236,31.0,295,-,14.4,360,48.5,91,,/world-university-rankings/university-of-medicine-and-dentistry-of-new-jersey
204,Japan,Nagoya University,679,201-225,205,43.8,270,33.1,247,21.2,368,-,39.2,136,45.5,110,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Archaeology,Chemistry,Biological Sciences,Business & Management,Mathematics & Statistics,Geography,General Engineering,Accounting & Finance,Other Health,Communication & Media Studies,Psychology,Sociology,Civil Engineering,Medicine & Dentistry,Computer Science,History, Philosophy & Theology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Law,Education,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Architecture,Agriculture & Forestry,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/nagoya-university
205,Taiwan,National Tsing Hua University,680,201-225,206,39.7,294,46.8,124,17.7,391,-,44.5,106,42.7,128,"Computer Science,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,General Engineering,Sociology,Education,Chemical Engineering,Economics & Econometrics,Chemistry,History, Philosophy & Theology,Other Health,Law,Physics & Astronomy,Electrical & Electronic Engineering,Languages, Literature & Linguistics",/world-university-rankings/national-tsing-hua-university
206,Spain,Autonomous University of Barcelona,666,201-225,207,57.9,183,37.0,196,45.9,223,-,27.9,222,33.7,200,"Chemistry,Electrical & Electronic Engineering,Chemical Engineering,Communication & Media Studies,Veterinary Science,Politics & International Studies (incl Development Studies),Business & Management,Computer Science,Mechanical & Aerospace Engineering,Physics & Astronomy,History, Philosophy & Theology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,Education,Accounting & Finance,Archaeology,Geology, Environmental, Earth & Marine Sciences,General Engineering,Sociology,Other Health,Biological Sciences,Medicine & Dentistry,Psychology,Geography,Economics & Econometrics",/world-university-rankings/autonomous-university-barcelona
207,United States,Northeastern University,681,201-225,208,70.0,133,31.1,277,38.0,258,-,18.9,304,30.4,228,"Biological Sciences,Civil Engineering,Art, Performing Arts & Design,Languages, Literature & Linguistics,Communication & Media Studies,Sociology,Computer Science,Politics & International Studies (incl Development Studies),Other Health,Accounting & Finance,Psychology,Mathematics & Statistics,Law,History, Philosophy & Theology,Business & Management,Architecture,Chemistry,Mechanical & Aerospace Engineering,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Electrical & Electronic Engineering,General Engineering,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/northeastern-university
208,Spain,University of Barcelona,667,201-225,209,71.9,123,29.5,298,44.1,231,-,22.2,267,24.5,299,"Chemistry,Agriculture & Forestry,Psychology,Sport Science,Geography,Computer Science,General Engineering,Accounting & Finance,Biological Sciences,Physics & Astronomy,History, Philosophy & Theology,Electrical & Electronic Engineering,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Business & Management,Languages, Literature & Linguistics,Archaeology,Medicine & Dentistry,Law,Communication & Media Studies,Education,Art, Performing Arts & Design,Sociology,Economics & Econometrics",/world-university-rankings/university-barcelona
209,United States,University of South Carolina,683,201-225,210,52.1,220,27.3,331,26.0,335,-,29.3,212,34.3,195,"Medicine & Dentistry,Biological Sciences,Geography,Accounting & Finance,Chemistry,Psychology,Mechanical & Aerospace Engineering,Business & Management,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Electrical & Electronic Engineering,Sociology,Computer Science,History, Philosophy & Theology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Civil Engineering,Other Health,Chemical Engineering,Sport Science,Education,Languages, Literature & Linguistics,Communication & Media Studies",/world-university-rankings/university-south-carolina
210,United Kingdom,University of Essex,674,201-225,211,37.0,309,28.3,314,90.1,16,-,35.9,160,31.7,217,"Other Health,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Mathematics & Statistics,Sport Science,Computer Science,Psychology,General Engineering,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,Business & Management,History, Philosophy & Theology,Accounting & Finance,Communication & Media Studies,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Medicine & Dentistry",/world-university-rankings/university-essex
211,France,University of Strasbourg,684,201-225,212,70.3,129,32.1,265,70.4,102,-,17.3,327,26.7,270,"General Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Chemistry,Architecture,Art, Performing Arts & Design,Chemical Engineering,Languages, Literature & Linguistics,Sport Science,Biological Sciences,Education,Geography,Archaeology,Politics & International Studies (incl Development Studies),Civil Engineering,Medicine & Dentistry,Computer Science,Business & Management,Agriculture & Forestry,Communication & Media Studies,Law,Electrical & Electronic Engineering,Veterinary Science,Mechanical & Aerospace Engineering,Economics & Econometrics,Accounting & Finance,Other Health,History, Philosophy & Theology,Sociology,Psychology",/world-university-rankings/university-strasbourg
212,New Zealand,University of Otago,682,201-225,213,48.0,248,27.8,323,88.8,26,-,28.0,221,24.5,300,"Physics & Astronomy,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Psychology,Other Health,Chemistry,Sport Science,Geography,Mathematics & Statistics,Computer Science,Business & Management,Economics & Econometrics,Law,Sociology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Communication & Media Studies,Education,Accounting & Finance,Archaeology,Medicine & Dentistry",/world-university-rankings/university-otago
213,Israel,Technion Israel Institute of Technology,685,201-225,214,34.0,329,33.6,242,48.9,205,-,45.0,104,38.7,158,"Architecture,Chemical Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Medicine & Dentistry,Electrical & Electronic Engineering,Chemistry,Art, Performing Arts & Design,General Engineering,Mathematics & Statistics,Biological Sciences,Computer Science,Physics & Astronomy",/world-university-rankings/technion-israel-institute-technology
214,Turkey,Bilkent University,668,201-225,215,60.8,172,29.4,300,48.5,208,-,22.3,264,27.9,259,"Business & Management,Economics & Econometrics,Art, Performing Arts & Design,Archaeology,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Computer Science,Architecture,Languages, Literature & Linguistics,Biological Sciences,General Engineering,Physics & Astronomy,Mathematics & Statistics,Mechanical & Aerospace Engineering,Education,Chemistry,Electrical & Electronic Engineering,Sociology,Law,Psychology",/world-university-rankings/bilkent-university
215,Australia,University of Adelaide,665,201-225,216,43.8,271,50.7,108,81.7,52,-,33.4,184,32.2,213,"Agriculture & Forestry,Medicine & Dentistry,Law,Languages, Literature & Linguistics,Art, Performing Arts & Design,Veterinary Science,Business & Management,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Civil Engineering,Sociology,Politics & International Studies (incl Development Studies),Education,History, Philosophy & Theology,Chemical Engineering,Architecture,Electrical & Electronic Engineering,Computer Science,Communication & Media Studies,Accounting & Finance,Mathematics & Statistics,Psychology,Other Health,General Engineering,Physics & Astronomy,Chemistry,Geography,Mechanical & Aerospace Engineering",/world-university-rankings/university-adelaide
216,United States,Tulane University,686,201-225,217,58.8,178,-,387,29.8,306,-,34.1,176,28.0,257,"General Engineering,Other Health,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemistry,Physics & Astronomy,Psychology,Mathematics & Statistics,Economics & Econometrics,Computer Science,Sociology,Politics & International Studies (incl Development Studies),Law,Languages, Literature & Linguistics,Business & Management,History, Philosophy & Theology,Art, Performing Arts & Design,Accounting & Finance,Communication & Media Studies,Education,Architecture,Chemical Engineering",/world-university-rankings/tulane-university
217,Canada,University of Waterloo,689,201-225,218,32.5,335,32.7,257,62.1,146,-,44.2,108,35.8,182,"Communication & Media Studies,Psychology,Geography,Sport Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Chemistry,Mathematics & Statistics,Computer Science,Civil Engineering,Sociology,Business & Management,Economics & Econometrics,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Architecture,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Accounting & Finance,Chemical Engineering,General Engineering,Biological Sciences",/world-university-rankings/university-waterloo
218,Belgium,Université Libre de Bruxelles,669,201-225,219,53.5,212,52.8,104,80.4,57,-,25.9,238,23.6,308,"Agriculture & Forestry,Politics & International Studies (incl Development Studies),Communication & Media Studies,Economics & Econometrics,Law,Chemistry,Sociology,Mathematics & Statistics,Accounting & Finance,Psychology,Computer Science,Physics & Astronomy,Chemical Engineering,History, Philosophy & Theology,Veterinary Science,General Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Other Health,Civil Engineering,Architecture,Electrical & Electronic Engineering,Education,Sport Science,Art, Performing Arts & Design,Medicine & Dentistry,Business & Management,Languages, Literature & Linguistics,Geography,Archaeology",/world-university-rankings/universite-libre-de-bruxelles
219,Germany,Ulm University,687,201-225,220,46.7,255,69.8,62,50.8,194,-,18.8,306,40.8,142,"Physics & Astronomy,Biological Sciences,Communication & Media Studies,Economics & Econometrics,Psychology,Computer Science,Chemistry,Mathematics & Statistics,Accounting & Finance,Other Health,Medicine & Dentistry,Education,Business & Management,Electrical & Electronic Engineering",/world-university-rankings/ulm-university
220,United States,University at Buffalo,670,201-225,221,42.0,284,40.9,162,49.2,202,-,35.6,163,44.3,118,"Civil Engineering,Medicine & Dentistry,Computer Science,Law,Sociology,Education,Politics & International Studies (incl Development Studies),Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Archaeology,Communication & Media Studies,Architecture,Accounting & Finance,Chemical Engineering,Electrical & Electronic Engineering,Physics & Astronomy,Other Health,Chemistry,Biological Sciences,Sport Science,Geology, Environmental, Earth & Marine Sciences,General Engineering,Psychology,Geography,Mathematics & Statistics",/world-university-rankings/university-buffalo
221,Sweden,Umeå University,688,201-225,222,59.4,176,26.3,344,52.0,189,-,29.2,213,20.8,333,"Chemical Engineering,Psychology,Archaeology,Chemistry,Mathematics & Statistics,Languages, Literature & Linguistics,Accounting & Finance,Physics & Astronomy,Computer Science,Veterinary Science,Business & Management,Sociology,Communication & Media Studies,Other Health,Mechanical & Aerospace Engineering,Economics & Econometrics,Law,Architecture,Geography,Geology, Environmental, Earth & Marine Sciences,General Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,History, Philosophy & Theology,Civil Engineering,Sport Science,Electrical & Electronic Engineering,Education,Art, Performing Arts & Design,Biological Sciences",/world-university-rankings/umea-university
222,United Kingdom,Cardiff University,671,201-225,223,51.7,222,35.5,216,67.8,113,-,34.0,177,28.9,245,"Architecture,Psychology,Geography,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Chemistry,Mathematics & Statistics,Civil Engineering,Computer Science,Sociology,Economics & Econometrics,Law,Business & Management,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Education,Archaeology,Electrical & Electronic Engineering,Accounting & Finance,Medicine & Dentistry,Communication & Media Studies,General Engineering,Other Health,Physics & Astronomy",/world-university-rankings/cardiff-university
223,Canada,Western University,690,201-225,224,38.5,302,41.9,154,55.7,174,-,34.3,175,38.8,156,"Psychology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Civil Engineering,Economics & Econometrics,Geography,Chemical Engineering,Sociology,Business & Management,Physics & Astronomy,Politics & International Studies (incl Development Studies),Computer Science,Mathematics & Statistics,Biological Sciences,Law,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemistry,Languages, Literature & Linguistics,Accounting & Finance,Education,Electrical & Electronic Engineering,Medicine & Dentistry,History, Philosophy & Theology",/world-university-rankings/western-university
224,United States,University of Cincinnati,672,201-225,225,69.0,136,32.9,250,20.6,375,-,24.9,243,29.0,243,"Communication & Media Studies,Physics & Astronomy,General Engineering,Geography,Mathematics & Statistics,Mechanical & Aerospace Engineering,Chemistry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Other Health,Accounting & Finance,Electrical & Electronic Engineering,Agriculture & Forestry,Architecture,Chemical Engineering,Business & Management,History, Philosophy & Theology,Languages, Literature & Linguistics,Psychology,Law,Civil Engineering,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Computer Science,Art, Performing Arts & Design,Education",/world-university-rankings/university-cincinnati
225,Germany,University of Würzburg,691,201-225,226,63.0,161,27.9,322,44.0,232,-,18.0,319,31.3,221,"Geography,Law,Economics & Econometrics,Medicine & Dentistry,Art, Performing Arts & Design,Languages, Literature & Linguistics,Education,Communication & Media Studies,Biological Sciences,Psychology,Other Health,Archaeology,Sociology,Chemistry,Business & Management,Mathematics & Statistics,Physics & Astronomy,History, Philosophy & Theology,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-wurzburg
226,United States,Colorado School of Mines,673,201-225,227,63.7,156,99.4,16,38.4,253,-,22.8,262,24.6,297,"Economics & Econometrics,General Engineering,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Computer Science,Chemistry,Mathematics & Statistics,Chemical Engineering",/world-university-rankings/colorado-school-mines
227,Canada,University of Calgary,693,226-250,228,39.7,295,39.5,176,42.7,235,-,34.4,173,34.0,197,"Education,Sport Science,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Computer Science,Medicine & Dentistry,Biological Sciences,General Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Geography,Chemistry,Mathematics & Statistics,Physics & Astronomy,Psychology,Business & Management,Accounting & Finance,Languages, Literature & Linguistics,Economics & Econometrics,Sociology,Law,Architecture,History, Philosophy & Theology,Civil Engineering,Veterinary Science,Chemical Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Archaeology,Communication & Media Studies",/world-university-rankings/university-calgary
228,Sweden,Swedish University of Agricultural Sciences,711,226-250,229,49.8,238,100.0,9,43.5,233,-,22.2,266,28.9,246,"Education,Biological Sciences,General Engineering,Architecture,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management",/world-university-rankings/swedish-university-agricultural-sciences
229,Canada,Carleton University,694,226-250,230,61.6,169,-,370,58.6,156,-,24.2,248,17.0,376,"Chemistry,Electrical & Electronic Engineering,General Engineering,Law,Politics & International Studies (incl Development Studies),Accounting & Finance,Communication & Media Studies,Sociology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Computer Science,Civil Engineering,Economics & Econometrics,Languages, Literature & Linguistics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management,Psychology,Architecture,Geography,Physics & Astronomy,Mathematics & Statistics",/world-university-rankings/carleton-university
230,Italy,University of Trieste,713,226-250,231,76.9,102,31.3,274,45.5,227,-,12.9,374,16.7,379,"History, Philosophy & Theology,Mechanical & Aerospace Engineering,Sociology,Economics & Econometrics,Accounting & Finance,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Psychology,Computer Science,Mathematics & Statistics,Law,Chemistry,Archaeology,Physics & Astronomy,Other Health,General Engineering,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Medicine & Dentistry,Electrical & Electronic Engineering,Biological Sciences,Architecture",/world-university-rankings/university-trieste
231,Sweden,Chalmers University of Technology,695,226-250,232,36.3,316,79.3,46,66.0,123,-,37.2,149,25.9,280,"Computer Science,Mathematics & Statistics,Other Health,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,General Engineering,Sport Science,Physics & Astronomy,Education,Civil Engineering,Chemistry,Economics & Econometrics,Business & Management,Mechanical & Aerospace Engineering,Architecture,Chemical Engineering,Biological Sciences",/world-university-rankings/chalmers-university-technology
232,South Korea,Yonsei University,714,226-250,233,36.9,310,47.9,120,23.3,359,-,33.6,180,41.5,136,"Architecture,Biological Sciences,Business & Management,Chemical Engineering,Chemistry,Civil Engineering,Computer Science,Economics & Econometrics,Education,Electrical & Electronic Engineering,General Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Law,Mathematics & Statistics,Mechanical & Aerospace Engineering,Medicine & Dentistry,Other Health,Physics & Astronomy,Sociology",/world-university-rankings/yonsei-university
233,United States,Colorado State University,696,226-250,234,51.2,226,-,372,25.5,340,-,32.0,191,26.9,268,"Politics & International Studies (incl Development Studies),Chemical Engineering,Education,Other Health,General Engineering,Psychology,Economics & Econometrics,Veterinary Science,Chemistry,Languages, Literature & Linguistics,Communication & Media Studies,Art, Performing Arts & Design,Business & Management,Biological Sciences,Computer Science,Architecture,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Sport Science,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Physics & Astronomy,Geography,Mathematics & Statistics,Accounting & Finance,Agriculture & Forestry,Civil Engineering,Sociology",/world-university-rankings/colorado-state-university
234,United States,Creighton University,697,226-250,235,55.7,198,24.2,366,25.0,343,-,10.5,393,43.6,123,"Accounting & Finance,Medicine & Dentistry,Sociology,Psychology,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Economics & Econometrics,Education,Biological Sciences,Mathematics & Statistics,Computer Science,Law,Geology, Environmental, Earth & Marine Sciences,Sport Science,Business & Management,Chemistry,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/creighton-university
235,Canada,Dalhousie University,698,226-250,236,43.0,275,72.5,59,64.8,130,-,30.7,198,25.5,284,"Economics & Econometrics,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Computer Science,Electrical & Electronic Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Business & Management,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Medicine & Dentistry,Chemical Engineering,Law,Architecture,Veterinary Science,Other Health,Geology, Environmental, Earth & Marine Sciences,General Engineering,Accounting & Finance,Physics & Astronomy,Chemistry,Psychology,Sociology,Civil Engineering,Mathematics & Statistics",/world-university-rankings/dalhousie-university
236,United States,Drexel University,699,226-250,237,59.4,175,29.9,291,37.8,259,-,12.2,383,36.9,172,"Agriculture & Forestry,Chemistry,Sociology,Education,Psychology,Other Health,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Architecture,General Engineering,Physics & Astronomy,Mathematics & Statistics,Communication & Media Studies,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Law,Electrical & Electronic Engineering,Economics & Econometrics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Accounting & Finance",/world-university-rankings/drexel-university
237,China,Fudan University,700,226-250,238,42.9,277,40.5,169,36.1,268,-,26.2,234,42.4,131,"Chemical Engineering,General Engineering,Accounting & Finance,Mathematics & Statistics,Other Health,Communication & Media Studies,Computer Science,Politics & International Studies (incl Development Studies),Physics & Astronomy,Geography,Economics & Econometrics,Art, Performing Arts & Design,Chemistry,Agriculture & Forestry,Law,Electrical & Electronic Engineering,Education,Sociology,Business & Management,Psychology,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences",/world-university-rankings/fudan-university
238,Germany,University of Hamburg,701,226-250,239,50.0,237,27.4,329,56.3,170,-,21.3,281,35.2,187,"Economics & Econometrics,Agriculture & Forestry,Other Health,Sport Science,Law,Politics & International Studies (incl Development Studies),Psychology,Business & Management,Chemistry,Languages, Literature & Linguistics,Computer Science,Geography,History, Philosophy & Theology,Education,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Accounting & Finance,Archaeology,Biological Sciences,Communication & Media Studies,Medicine & Dentistry,Physics & Astronomy,Sociology",/world-university-rankings/university-hamburg
239,Italy,University of Milan,704,226-250,240,51.3,225,35.0,225,34.3,276,-,24.3,247,37.1,168,"Sport Science,Other Health,Geography,Law,Accounting & Finance,Chemistry,Psychology,Economics & Econometrics,Computer Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Business & Management,Politics & International Studies (incl Development Studies),Archaeology,Mathematics & Statistics,Sociology,Languages, Literature & Linguistics,Biological Sciences,History, Philosophy & Theology,Communication & Media Studies,Veterinary Science,Medicine & Dentistry,Agriculture & Forestry",/world-university-rankings/university-milan
240,South Korea,Korea University,702,226-250,241,30.2,343,49.7,112,23.4,357,-,39.6,134,39.5,149,"General Engineering,Agriculture & Forestry,Other Health,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Psychology,Chemical Engineering,Geography,Physics & Astronomy,Electrical & Electronic Engineering,Mathematics & Statistics,Sport Science,Chemistry,Civil Engineering,Computer Science,Architecture,Sociology,Biological Sciences,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Accounting & Finance,Politics & International Studies (incl Development Studies),Law,Economics & Econometrics,Business & Management,Communication & Media Studies,Education,Medicine & Dentistry",/world-university-rankings/korea-university
241,Italy,University of Milan-Bicocca,705,226-250,242,78.3,96,35.6,214,33.2,285,-,12.3,382,22.5,320,"Medicine & Dentistry,Chemistry,Education,Communication & Media Studies,Physics & Astronomy,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Accounting & Finance,Law,Psychology,Sociology,Mathematics & Statistics,Computer Science,Other Health",/world-university-rankings/university-milan-bicocca
242,Australia,Macquarie University,703,226-250,243,46.5,256,42.3,146,93.0,7,-,23.2,259,21.3,328,"Communication & Media Studies,Languages, Literature & Linguistics,Economics & Econometrics,Business & Management,Accounting & Finance,Other Health,Psychology,General Engineering,History, Philosophy & Theology,Geography,Education,Chemistry,Medicine & Dentistry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Biological Sciences,Archaeology,Law,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Sociology,Physics & Astronomy",/world-university-rankings/macquarie-university
243,United States,University of Missouri,706,226-250,244,37.7,305,26.5,343,26.9,325,-,33.7,178,38.5,160,"Chemistry,Physics & Astronomy,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,General Engineering,Psychology,Geography,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Civil Engineering,Computer Science,Economics & Econometrics,Sociology,Business & Management,History, Philosophy & Theology,Languages, Literature & Linguistics,Art, Performing Arts & Design,Education,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Agriculture & Forestry,Veterinary Science,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-missouri
244,Japan,Tokyo Metropolitan University,712,226-250,245,84.3,74,27.6,326,17.8,390,-,10.3,394,19.0,352,"Civil Engineering,Communication & Media Studies,Economics & Econometrics,Architecture,Computer Science,Chemical Engineering,Sociology,Sport Science,Psychology,Accounting & Finance,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Other Health,Geology, Environmental, Earth & Marine Sciences,Archaeology,General Engineering,Geography,Biological Sciences,Mathematics & Statistics,Physics & Astronomy,Law,Languages, Literature & Linguistics,History, Philosophy & Theology,Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Education,Chemistry",/world-university-rankings/tokyo-metropolitan-university
245,Taiwan,National Chiao Tung University,707,226-250,246,25.1,363,100.0,7,24.2,349,-,44.5,105,36.4,177,"Communication & Media Studies,Civil Engineering,Sociology,General Engineering,Biological Sciences,Business & Management,Accounting & Finance,Chemistry,Computer Science,Physics & Astronomy,Mathematics & Statistics,Languages, Literature & Linguistics,Art, Performing Arts & Design,Education,Mechanical & Aerospace Engineering,Architecture,Electrical & Electronic Engineering",/world-university-rankings/national-chiao-tung-university
246,Italy,University of Padua,708,226-250,247,56.2,197,31.1,278,34.3,277,-,26.0,237,24.2,306,"Accounting & Finance,General Engineering,Sport Science,Biological Sciences,Sociology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Geography,Chemistry,Psychology,Mathematics & Statistics,Other Health,Civil Engineering,Computer Science,Economics & Econometrics,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Business & Management,Languages, Literature & Linguistics,Law,Art, Performing Arts & Design,Education,Communication & Media Studies,Veterinary Science,Mechanical & Aerospace Engineering,Archaeology,Chemical Engineering,Agriculture & Forestry,Electrical & Electronic Engineering,Medicine & Dentistry",/world-university-rankings/university-padua
247,Canada,Simon Fraser University,709,226-250,248,53.0,214,37.6,192,56.8,164,-,30.0,207,19.6,347,"Physics & Astronomy,Archaeology,Electrical & Electronic Engineering,Art, Performing Arts & Design,Biological Sciences,Languages, Literature & Linguistics,Accounting & Finance,Psychology,Business & Management,Geography,History, Philosophy & Theology,Other Health,Computer Science,Mathematics & Statistics,Economics & Econometrics,General Engineering,Chemistry,Sociology,Geology, Environmental, Earth & Marine Sciences,Education,Communication & Media Studies,Politics & International Studies (incl Development Studies)",/world-university-rankings/simon-fraser-university
